branch,product,qty,unit,threshold,cost
"Angono, Rizal",Blueberry Frappe,0,cup,0,0
"Angono, Rizal",Caramel Frappe,0,cup,0,0
"Angono, Rizal",Caramel Toffee Frappe,0,cup,0,0
"Angono, Rizal",Chocolate Chip Frappe,0,cup,0,0
"Angono, Rizal",Cheesecake Frappe,0,cup,0,0
"Angono, Rizal",Coffee Jelly Frappe,0,cup,0,0
"Angono, Rizal",Cookies and Cream Frappe,0,cup,0,0
"Angono, Rizal",Dark Mocha Frappe,0,cup,0,0
"Angono, Rizal",Strawberry Frappe,0,cup,0,0
"Angono, Rizal",White Rabbit Frappe,0,cup,0,0
"Angono, Rizal",Mango Graham Frappe,0,cup,0,0
"Angono, Rizal",Java Chip Frappe,0,cup,0,0
"Angono, Rizal",Roasted Almond Latte,0,cup,0,0
"Angono, Rizal",Hazelnut Espresso Latte,0,cup,0,0
"Angono, Rizal",French Vanilla Espresso Latte,0,cup,0,0
"Angono, Rizal",Sea Salt Caramel Latte,0,cup,0,0
"Angono, Rizal",Ginger Ale,0,cup,0,0
"Angono, Rizal",Honey Lemon Cucumber,0,cup,0,0
"Angono, Rizal",Dalgona Coffee,0,cup,0,0
"Angono, Rizal",Caramel Macchiato,0,cup,0,0
"Angono, Rizal",Dark Chocolate Milktea,0,cup,0,0
"Angono, Rizal",Black Forest Milktea,0,cup,0,0
"Angono, Rizal",Wintermelon Milktea,0,cup,0,0
"Angono, Rizal",Taro Milktea,0,cup,0,0
"Angono, Rizal",Okinawa Milktea,0,cup,0,0
"Angono, Rizal",Hot Caramel Macchiato,0,cup,0,0
"Angono, Rizal",Hot Spanish Latte,0,cup,0,0
"Angono, Rizal",Hot French Vanilla,0,cup,0,0
"Angono, Rizal",Hot Chocolate,0,cup,0,0
"Angono, Rizal",Hot Matcha,0,cup,0,0
"Angono, Rizal",Oat Milk Add-on,0,add-on,0,0
"Angono, Rizal",Non Dairy Add-on,0,add-on,0,0
"Angono, Rizal",Soy Milk Add-on,0,add-on,0,0
"Angono, Rizal",Blueberry Soda,0,cup,0,0
"Angono, Rizal",Green Apple Soda,0,cup,0,0
"Angono, Rizal",Passion Fruit Soda,0,cup,0,0
"Angono, Rizal",Lychee Soda,0,cup,0,0
"Angono, Rizal",Lemon Soda,0,cup,0,0
"Angono, Rizal",Dirty Matcha,0,cup,0,0
"Angono, Rizal",Strawberry Matcha Frappe,0,cup,0,0
"Angono, Rizal",Matcha Milktea,0,cup,0,0
"Angono, Rizal",Oreo Matcha Latte,0,cup,0,0
"Angono, Rizal",Almuerzo Blend,0,cup,0,0
"Angono, Rizal",Barako Blend,0,cup,0,0
"Angono, Rizal",Arabica Blend,0,cup,0,0
"Angono, Rizal",Benguet Blend,0,cup,0,0
"Angono, Rizal",Kalinga Blend,0,cup,0,0
"Angono, Rizal",Espresso Blend,0,cup,0,0
"Angono, Rizal",Hazelnut Flavor Coffee,0,cup,0,0
"Angono, Rizal",Turkish Cinnamon Coffee,0,cup,0,0
"Angono, Rizal",Robusta Quezon Prov,0,cup,0,0
"Angono, Rizal",Liberica Indonesia,0,cup,0,0
"Angono, Rizal",Arabica Mt. Matutum,0,cup,0,0
"Angono, Rizal",Excelsa Amadeo,0,cup,0,0
"Angono, Rizal",Cajun Corn,0,serving,0,0
"Angono, Rizal",Sizzling Sisig,0,serving,0,0
"Angono, Rizal",Kilawin na Liempo,0,serving,0,0
"Angono, Rizal",Lumpiang Shanghai,0,serving,0,0
"Angono, Rizal",Beef Loaded Nachos,0,serving,0,0
"Angono, Rizal",Ensaladang Mangga,0,serving,0,0
"Angono, Rizal",Fried Calamari,0,serving,0,0
"Angono, Rizal",Cheesy Bacon Fries,0,serving,0,0
"Angono, Rizal",Dynamite,0,serving,0,0
"Angono, Rizal",Boneless Chicksilog,0,plate,0,0
"Angono, Rizal",Tapsilog,0,plate,0,0
"Angono, Rizal",Lechon Silog,0,plate,0,0
"Angono, Rizal",Bangsilog,0,plate,0,0
"Angono, Rizal",Hungarian Silog,0,plate,0,0
"Angono, Rizal",Pinyadobo,0,serving,0,0
"Angono, Rizal",Crispy Pork Binagoongan,0,serving,0,0
"Angono, Rizal",Gising Gising,0,serving,0,0
"Angono, Rizal",Beef Caldereta,0,serving,0,0
"Angono, Rizal",Crispy Kare Kare,0,serving,0,0
"Angono, Rizal",Bangus Ala Pobre,0,serving,0,0
"Angono, Rizal",Crispy Pata,0,serving,0,0
"Angono, Rizal",Pancit Canton,0,serving,0,0
"Angono, Rizal",Pancit Bihon,0,serving,0,0
"Angono, Rizal",Mixed Pancit,0,serving,0,0
"Angono, Rizal",Margherita Pizza,0,serving,0,0
"Angono, Rizal",Pizza Supreme,0,serving,0,0
"Angono, Rizal",Quattro Formaggi Pizza,0,serving,0,0
"Angono, Rizal",Pepperoni Pizza,0,serving,0,0
"Angono, Rizal",Hawaiian Pizza,0,serving,0,0
"Angono, Rizal",Pork Barbecue,0,serving,0,0
"Angono, Rizal",Honey Salmon Steak,0,serving,0,0
"Angono, Rizal",Grilled Squid,0,serving,0,0
"Angono, Rizal",Mashed Potatoes,0,serving,0,0
"Angono, Rizal",Prime Beef Ribs,0,serving,0,0
"Angono, Rizal",Chicken Barbecue,0,serving,0,0
"Angono, Rizal",Sinigang na Baboy,0,serving,0,0
"Angono, Rizal",Beef Bulalo,0,serving,0,0
"Angono, Rizal",Chicken Binakol,0,serving,0,0
