product,ingredient,qty,unit
Blueberry Frappe,Cold Cup,1,pcs
Blueberry Frappe,Cup Lid,1,pcs
Blueberry Frappe,Straw,1,pcs
Blueberry Frappe,Ice,180,gram
Blueberry Frappe,Fresh Milk,120,ml
Blueberry Frappe,Frappe Base Powder,25,gram
Blueberry Frappe,Whipped Cream,20,gram
Blueberry Frappe,Blueberry Frappe Powder,20,gram
Caramel Frappe,Cold Cup,1,pcs
Caramel Frappe,Cup Lid,1,pcs
Caramel Frappe,Straw,1,pcs
Caramel Frappe,Ice,180,gram
Caramel Frappe,Fresh Milk,120,ml
Caramel Frappe,Frappe Base Powder,25,gram
Caramel Frappe,Whipped Cream,20,gram
Caramel Frappe,Caramel Frappe Syrup,25,ml
Caramel Toffee Frappe,Cold Cup,1,pcs
Caramel Toffee Frappe,Cup Lid,1,pcs
Caramel Toffee Frappe,Straw,1,pcs
Caramel Toffee Frappe,Ice,180,gram
Caramel Toffee Frappe,Fresh Milk,120,ml
Caramel Toffee Frappe,Frappe Base Powder,25,gram
Caramel Toffee Frappe,Whipped Cream,20,gram
Caramel Toffee Frappe,Caramel Toffee Syrup,25,ml
Chocolate Chip Frappe,Cold Cup,1,pcs
Chocolate Chip Frappe,Cup Lid,1,pcs
Chocolate Chip Frappe,Straw,1,pcs
Chocolate Chip Frappe,Ice,180,gram
Chocolate Chip Frappe,Fresh Milk,120,ml
Chocolate Chip Frappe,Frappe Base Powder,25,gram
Chocolate Chip Frappe,Whipped Cream,20,gram
Chocolate Chip Frappe,Chocolate Chip Frappe Powder,25,gram
Cheesecake Frappe,Cold Cup,1,pcs
Cheesecake Frappe,Cup Lid,1,pcs
Cheesecake Frappe,Straw,1,pcs
Cheesecake Frappe,Ice,180,gram
Cheesecake Frappe,Fresh Milk,120,ml
Cheesecake Frappe,Frappe Base Powder,25,gram
Cheesecake Frappe,Whipped Cream,20,gram
Cheesecake Frappe,Cheesecake Frappe Powder,25,gram
Coffee Jelly Frappe,Cold Cup,1,pcs
Coffee Jelly Frappe,Cup Lid,1,pcs
Coffee Jelly Frappe,Straw,1,pcs
Coffee Jelly Frappe,Ice,180,gram
Coffee Jelly Frappe,Fresh Milk,120,ml
Coffee Jelly Frappe,Frappe Base Powder,25,gram
Coffee Jelly Frappe,Whipped Cream,20,gram
Coffee Jelly Frappe,Coffee Jelly,50,gram
Cookies and Cream Frappe,Cold Cup,1,pcs
Cookies and Cream Frappe,Cup Lid,1,pcs
Cookies and Cream Frappe,Straw,1,pcs
Cookies and Cream Frappe,Ice,180,gram
Cookies and Cream Frappe,Fresh Milk,120,ml
Cookies and Cream Frappe,Frappe Base Powder,25,gram
Cookies and Cream Frappe,Whipped Cream,20,gram
Cookies and Cream Frappe,Cookies and Cream Powder,25,gram
Dark Mocha Frappe,Cold Cup,1,pcs
Dark Mocha Frappe,Cup Lid,1,pcs
Dark Mocha Frappe,Straw,1,pcs
Dark Mocha Frappe,Ice,180,gram
Dark Mocha Frappe,Fresh Milk,120,ml
Dark Mocha Frappe,Frappe Base Powder,25,gram
Dark Mocha Frappe,Whipped Cream,20,gram
Dark Mocha Frappe,Dark Mocha Powder,25,gram
Strawberry Frappe,Cold Cup,1,pcs
Strawberry Frappe,Cup Lid,1,pcs
Strawberry Frappe,Straw,1,pcs
Strawberry Frappe,Ice,180,gram
Strawberry Frappe,Fresh Milk,120,ml
Strawberry Frappe,Frappe Base Powder,25,gram
Strawberry Frappe,Whipped Cream,20,gram
Strawberry Frappe,Strawberry Puree,30,ml
White Rabbit Frappe,Cold Cup,1,pcs
White Rabbit Frappe,Cup Lid,1,pcs
White Rabbit Frappe,Straw,1,pcs
White Rabbit Frappe,Ice,180,gram
White Rabbit Frappe,Fresh Milk,120,ml
White Rabbit Frappe,Frappe Base Powder,25,gram
White Rabbit Frappe,Whipped Cream,20,gram
White Rabbit Frappe,White Rabbit Powder,25,gram
Mango Graham Frappe,Cold Cup,1,pcs
Mango Graham Frappe,Cup Lid,1,pcs
Mango Graham Frappe,Straw,1,pcs
Mango Graham Frappe,Ice,180,gram
Mango Graham Frappe,Fresh Milk,120,ml
Mango Graham Frappe,Frappe Base Powder,25,gram
Mango Graham Frappe,Whipped Cream,20,gram
Mango Graham Frappe,Mango Puree,30,ml
Mango Graham Frappe,Graham Crumbs,10,gram
Java Chip Frappe,Cold Cup,1,pcs
Java Chip Frappe,Cup Lid,1,pcs
Java Chip Frappe,Straw,1,pcs
Java Chip Frappe,Ice,180,gram
Java Chip Frappe,Fresh Milk,120,ml
Java Chip Frappe,Frappe Base Powder,25,gram
Java Chip Frappe,Whipped Cream,20,gram
Java Chip Frappe,Java Chip Powder,25,gram
Java Chip Frappe,Chocolate Chips,10,gram
Roasted Almond Latte,Cold Cup,1,pcs
Roasted Almond Latte,Cup Lid,1,pcs
Roasted Almond Latte,Straw,1,pcs
Roasted Almond Latte,Espresso Blend Beans,18,gram
Roasted Almond Latte,Fresh Milk,180,ml
Roasted Almond Latte,Roasted Almond Syrup,20,ml
Hazelnut Espresso Latte,Cold Cup,1,pcs
Hazelnut Espresso Latte,Cup Lid,1,pcs
Hazelnut Espresso Latte,Straw,1,pcs
Hazelnut Espresso Latte,Espresso Blend Beans,18,gram
Hazelnut Espresso Latte,Fresh Milk,180,ml
Hazelnut Espresso Latte,Hazelnut Syrup,20,ml
French Vanilla Espresso Latte,Cold Cup,1,pcs
French Vanilla Espresso Latte,Cup Lid,1,pcs
French Vanilla Espresso Latte,Straw,1,pcs
French Vanilla Espresso Latte,Espresso Blend Beans,18,gram
French Vanilla Espresso Latte,Fresh Milk,180,ml
French Vanilla Espresso Latte,French Vanilla Syrup,20,ml
Sea Salt Caramel Latte,Cold Cup,1,pcs
Sea Salt Caramel Latte,Cup Lid,1,pcs
Sea Salt Caramel Latte,Straw,1,pcs
Sea Salt Caramel Latte,Espresso Blend Beans,18,gram
Sea Salt Caramel Latte,Fresh Milk,180,ml
Sea Salt Caramel Latte,Caramel Sauce,20,ml
Sea Salt Caramel Latte,Sea Salt Cream,40,ml
Ginger Ale,Cold Cup,1,pcs
Ginger Ale,Cup Lid,1,pcs
Ginger Ale,Straw,1,pcs
Ginger Ale,Ginger,30,gram
Ginger Ale,Honey,20,ml
Ginger Ale,Lemon Juice,10,ml
Ginger Ale,Sugar Syrup,15,ml
Honey Lemon Cucumber,Cold Cup,1,pcs
Honey Lemon Cucumber,Cup Lid,1,pcs
Honey Lemon Cucumber,Straw,1,pcs
Honey Lemon Cucumber,Cucumber,40,gram
Honey Lemon Cucumber,Honey,20,ml
Honey Lemon Cucumber,Lemon Juice,15,ml
Honey Lemon Cucumber,Ice,120,gram
Dalgona Coffee,Cold Cup,1,pcs
Dalgona Coffee,Cup Lid,1,pcs
Dalgona Coffee,Straw,1,pcs
Dalgona Coffee,Espresso Blend Beans,18,gram
Dalgona Coffee,Fresh Milk,180,ml
Dalgona Coffee,Dalgona Coffee Powder,20,gram
Caramel Macchiato,Cold Cup,1,pcs
Caramel Macchiato,Cup Lid,1,pcs
